"country","region","population","density","lifeexp","fertility","education","military","gdpcapita","unemployment","inequality","inflation","debt","carbon","polrights","corruption"
"Saint_Kitts_and_Nevis","Caribbean",50726,194.35,74.84,1.79,9.6,2.6,15600,4.5,39.4,9.8,200,5.98,1,55
"Saint_Lucia","Caribbean",162178,263.28,77.04,1.8,4.5,1,13100,20,44.2,2.8,88.5,2.66,1,71
"Saint_Vincent_and_the_Grenadines","Caribbean",103537,266.16,74.39,1.89,6.6,0.7,11500,15,26.8,1.9,45.9,3.21,1,62
"Samoa","Oceania",194320,68.64,72.66,3.13,5.7,1.4,6000,5.1,30.6,5.2,65,0.76,2,42
"San_Marino","Europe",32140,526.89,83.07,1.48,3,5.5,36200,5.5,38.5,3.1,118.2,8.64,1,75
"Sao_Tome_and_Principe","Africa",183176,190.02,63.49,4.94,5.2,0.8,2300,14,41.5,14.3,74.4,0.82,2,42
"Saudi_Arabia","Middle_East",26534504,12.34,74.35,2.26,5.6,10,24400,10.9,48,5,12.6,18.03,7,44
"Senegal","Africa",12969606,65.93,60.18,4.69,5.8,1.4,2000,48,41.3,3.4,32.7,0.51,3,36
"Serbia","Europe",7276604,93.92,74.56,1.4,4.7,0.8,10400,23.7,28.2,11.2,45.1,6.86,2,39
"Seychelles","Africa",90024,197.85,73.77,1.9,5,2,25400,2,33.9,2.6,44.4,13.83,3,52
"Sierra_Leone","Africa",5485998,76.47,56.55,4.9,4.3,2.3,1100,18.4,62.9,16.2,80.8,0.24,3,31
"Singapore","Asia",5353494,7680.77,83.75,0.78,3,4.9,59700,2,47.3,5.2,118.2,32.17,4,87
"Slovakia","Europe",5483088,111.82,76.03,1.38,3.6,1.08,23300,13.2,26,3.9,43.3,6.3,1,46
"Slovenia","Europe",1996617,98.49,77.48,1.31,5.2,1.7,28800,11.8,28.4,1.8,41.9,8.72,1,61
"Solomon_Islands","Oceania",584578,20.23,74.42,3.51,4.3,3,3200,1.7,49,4.2,3.3,0.61,4,26
"Somalia","Africa",10085638,15.82,50.8,6.26,5.5,0.9,600,35,30,18,38.6,0.09,7,8
"South_Africa","Africa",48810427,40.04,49.41,2.28,5.4,1.7,11000,24.9,65,5,38.6,9.53,2,43
"South_Sudan","Africa",10625176,16.49,51.82,5.66,3.7,1.3,1900,30,39,8.1,34.4,0.13,6,19
"Spain","Europe",47042984,93.09,81.27,1.48,4.3,1.2,30500,21.7,32,3.1,68.5,6.73,1,65
"Sri_Lanka","Asia",21481334,327.41,75.94,2.17,4.8,2.6,5700,4.2,49,7,79,0.66,5,40
"Sudan","Africa",34206710,18.38,62.57,4.17,2.1,3,2700,18.7,44.4,18,89.2,0.4,7,13
"Suriname","South_America",560157,3.42,71.12,2.08,4.1,0.6,11800,9,36.5,17.7,41.7,4.18,2,37
"Swaziland","Africa",1386914,79.87,49.42,3.03,7.8,4.7,5300,40,50.4,6.1,5.6,0.8,7,37
"Sweden","Europe",9103788,20.22,81.18,1.67,6.6,1.5,40700,7.5,23,3,38.3,6.89,1,88
"Switzerland","Europe",7925517,192.01,81.17,1.53,5.2,1,44500,2.8,33.7,0.2,52.4,5.75,1,86
"Syria","Middle_East",22530746,121.67,74.92,2.85,4.9,5.9,5100,14.9,45.5,4.8,35.2,2.8,7,26
"Taiwan","Asia",23234936,645.77,78.48,1.1,4.2,2.7,37700,4.4,32.6,1.4,34.7,13.14,1,61
"Tajikistan","Asia",7768385,54.29,66.38,2.85,3.5,1.5,2100,2.2,32.6,12.4,32.9,0.86,6,22
"Tanzania","Africa",46912768,49.52,53.14,5.08,6.8,0.2,1600,45,37.6,12.7,37.6,0.16,3,35
"Thailand","Asia",67091089,130.75,73.83,1.66,4.1,1.8,9400,0.7,53.6,3.8,44.9,4.15,4,37
"Timor-Leste","Asia",1143667,76.89,68.27,5.32,16.8,2.6,8700,18.4,31.9,13.5,29.8,0.35,3,33
"Togo","Africa",6961049,122.59,63.17,4.64,4.6,1.6,1000,85,59.2,3.6,3.3,0.45,5,30
"Tonga","Oceania",106146,142.1,75.38,3.55,3.9,0.9,7300,13,41.5,6.6,79.2,1.46,3,28
"Trinidad_and_Tobago","Caribbean",1226383,239.15,71.67,1.72,3.8,0.3,20000,5.5,31.3,5.1,38.8,40.71,2,39
"Tunisia","Africa",10732900,65.6,75.24,2.02,7.1,1.4,9400,19,40,3.5,45.1,1.74,3,41
"Turkey","Middle_East",79749461,101.78,72.77,2.13,2.9,5.3,14400,9.8,40.2,6.5,40,3.3,3,49
"Turkmenistan","Asia",5054828,10.36,68.84,2.14,3.9,3.4,7800,60,40.8,12,4.3,12.28,7,17
"Tuvalu","Oceania",10619,408.42,65.11,3.08,4.1,4.3,3300,6.6,55.1,3.8,32.9,0.83,1,41
"Uganda","Africa",33640833,139.57,53.45,6.14,3.2,2.2,1400,21,44.3,18.7,27.1,0.06,5,29
"Ukraine","Europe",44854065,74.32,68.74,1.29,5.3,1.4,7200,7.9,27.5,8,35.9,6.14,4,26
"United_Arab_Emirates","Middle_East",5314317,63.57,76.71,2.38,1.2,3.1,47700,2.4,49,0.9,45.9,37.52,6,68
"United_Kingdom","Europe",63047162,258.8,80.17,1.91,5.5,2.7,36500,8.1,34,4.5,85.3,8.44,1,74
"United_States","North_America",313847465,31.94,78.49,2.06,5.5,4.06,48300,9,45,3.1,67.8,17.87,1,73
"Uruguay","South_America",3316328,18.82,76.41,1.87,2.9,1.6,15100,6,45.3,8.1,58.3,2.19,1,72
"Uzbekistan","Asia",28394180,63.46,72.77,1.86,3.5,3.5,3300,1,36.8,12.8,8.4,4.03,7,17
"Vanuatu","Oceania",256155,21.02,65.06,3.57,4.8,3.5,4800,1.7,51.9,0.9,62.1,0.57,2,31
"Venezuela","South_America",28047938,30.75,74.08,2.4,3.7,1.2,12600,8.2,39,26.1,34.9,5.65,5,19
"Vietnam","Asia",91519289,276.32,72.41,1.89,5.3,2.5,3400,3.6,37.6,18.7,48.8,1.23,7,31
"Yemen","Middle_East",24771809,46.92,64.11,4.45,5.2,6.6,2300,35,37.7,19.5,36.9,1.07,6,23
"Zambia","Africa",13817479,18.36,52.57,5.85,1.3,1.8,1600,14,50.8,8.7,26.7,0.17,3,37
"Zimbabwe","Africa",12619600,32.3,51.82,3.61,5.2,3.8,500,95,50.1,5.4,219.7,0.67,6,20
